"","Symbol","imprinted","Type","mono.9....","skew.8....","skew.7....","indeterminate....","bi....","subjects","conflict","FPKM","chip.SNPs","imputed.SNPS","Biased.SNPs..binomial.....","chr","start","end","gene.type","file.size","imprinting.status","seg","cluster","score"
"SEC63","SEC63","_","bi",2.5,0.8,2.5,70.7,23.5,119,0,19,2,11,"0.00 (0/11)","chr 6",108188959,108279393,"protein_coding",130240,"distant candidate",-8,"inter clus 8",0.0252100840336135
"PDCD6IP","PDCD6IP","_","skew.7 novel",1.7,11.9,43.2,41.5,1.7,118,1,66,3,9,"0.00 (0/9)","chr 3",33839843,33911194,"protein_coding",154904,"distant candidate",-4,"inter clus 4",0.0252100840336135
"RPF2","RPF2","_","bi",1.7,3.4,11,80.5,3.4,118,1,15,0,8,"0.00 (0/8)","chr 6",111303217,111349466,"protein_coding",129590,"distant candidate",-8,"inter clus 8",0.0252100840336135
"TTYH1","TTYH1","1 M impr clstr","bi",0.9,0.4,1.7,20.9,76.1,234,4,96,0,13,"0.00 (0/13)","chr 19",54926392,54948080,"protein_coding",171457,"nearby candidate",32,"clus 32 (chr 19)",0.0252100840336135
"GAS8","GAS8","_","bi",0,3.4,12.9,72.1,11.6,232,6,12,2,19,"0.00 (0/18)","chr 16",90086036,90111383,"protein_coding",216703,"distant candidate",-29,"inter clus 29",0.0252100840336135
"WDR20","WDR20","_","bi",1.9,1.3,12,72.1,12.7,158,1,20,0,2,"0.00 (0/1)","chr 14",102605839,102691184,"protein_coding",71246,"distant candidate",-27,"inter clus 27",0.0251572327044025
"FAM21A","FAM21A","_","bi",1.3,1.9,12.1,72,12.7,157,2,18,0,3,"0.33 (1/3)","chr 10",51827647,51893269,"protein_coding",91370,"distant candidate",-18,"inter clus 18",0.0251572327044025
"PYROXD1","PYROXD1","_","bi",0.6,0.6,7.1,75,16.7,156,3,12,0,6,"0.00 (0/5)","chr 12",21590548,21623300,"protein_coding",122781,"distant candidate",-25,"inter clus 25",0.0251572327044025
"RECQL","RECQL","_","bi",0.6,0.6,7.1,75,16.7,156,3,16,0,5,"0.00 (0/4)","chr 12",21621844,21654603,"protein_coding",125313,"distant candidate",-25,"inter clus 25",0.0251572327044025
"RAB40B","RAB40B","_","bi",0,7.7,12.3,72.9,7.1,155,4,33,2,11,"0.18 (2/11)","chr 17",80612848,80656604,"protein_coding",163255,"distant candidate",-29,"inter clus 29",0.0251572327044025
"TADA2B","TADA2B","_","bi",1.7,1.7,7.6,76.3,12.7,237,2,8,0,7,"0.00 (0/7)","chr 4",7043625,7059679,"protein_coding",116864,"distant candidate",-4,"inter clus 4",0.0251046025104602
"PGPEP1","PGPEP1","_","bi",1.3,3.8,19.5,71.6,3.8,236,3,8,5,16,"0.00 (0/16)","chr 19",18451396,18480760,"protein_coding",207973,"distant candidate",-31,"inter clus 31",0.0251046025104602
"LSG1","LSG1","_","bi",1.1,3.7,8.8,53.6,32.8,354,5,16,5,12,"0.00 (0/12)","chr 3",194361516,194393206,"protein_coding",142502,"distant candidate",-4,"inter clus 4",0.0250696378830083
"RARB","RARB","_","skew.7 novel",2.5,25,22.5,45,5,40,0,16,1,2,"0.00 (0/2)","chr 3",25215822,25639423,"protein_coding",56835,"distant candidate",-4,"inter clus 4",0.025
"ZNF816","ZNF816","1 M impr clstr","bi",2.5,7.5,17.5,71.2,1.3,80,0,4,0,4,"0.00 (0/4)","chr 19",53430387,53466164,"protein_coding",83956,"nearby candidate",32,"clus 32 (chr 19)",0.025
"SNRPE","SNRPE","_","bi",2.5,5,10,82.5,0,40,0,40,0,1,"0.00 (0/1)","chr 1",203830730,203839678,"protein_coding",48739,"distant candidate",-2,"inter clus 2",0.025
"DKFZP761J1410","DKFZP761J1410","_","bi",2.5,5,7.5,80,5,40,0,11,0,2,"0.00 (0/2)","chr 19",11466061,11476374,"protein_coding",56012,"distant candidate",-31,"inter clus 31",0.025
"LRRC24","LRRC24","_","bi",2.5,2.5,12.5,80,2.5,40,0,2,0,3,"0.00 (0/3)","chr 8",145747760,145752416,"protein_coding",76994,"distant candidate",-17,"inter clus 17",0.025
"GPR22","GPR22","_","bi",2.5,0.8,3.3,55.1,38.3,120,0,61,0,3,"0.00 (0/3)","chr 7",107110462,107116098,"protein_coding",64063,"distant candidate",-13,"inter clus 13",0.025
"VMAC","VMAC","_","bi",2.5,0,10,87.5,0,40,0,2,1,6,"0.00 (0/6)","chr 19",5904868,5910864,"protein_coding",88510,"distant candidate",-30,"inter clus 30",0.025
"ACSL6","ACSL6","_","bi",2.5,0,15,82.5,0,40,0,74,3,13,"0.00 (0/13)","chr 5",131142682,131347936,"protein_coding",144238,"distant candidate",-6,"inter clus 6",0.025
"PARP11","PARP11","_","bi",2.5,0,22.5,75,0,40,0,12,1,7,"0.00 (0/7)","chr 12",3900212,3982608,"protein_coding",98584,"distant candidate",-24,"inter clus 24",0.025
"CCNI2","CCNI2","_","bi",2.5,0,2.5,26.7,68.3,120,0,17,0,2,"0.00 (0/2)","chr 5",132083136,132089856,"protein_coding",64423,"distant candidate",-6,"inter clus 6",0.025
"DYNLL2","DYNLL2","_","bi",1.7,4.6,19.8,62.9,11,237,3,28,1,9,"0.00 (0/9)","chr 17",56160775,56172897,"protein_coding",147595,"distant candidate",-29,"inter clus 29",0.025
"CLCN6","CLCN6","_","bi",1.7,2.5,3.4,59.6,32.8,119,1,13,3,8,"0.00 (0/8)","chr 1",11866206,11903201,"protein_coding",146205,"distant candidate",-1,"inter clus 1",0.025
"KIAA0226","KIAA0226","_","bi",1.7,0.8,5.9,58,33.6,119,1,18,1,8,"0.00 (0/8)","chr 3",197398263,197476598,"protein_coding",135055,"distant candidate",-4,"inter clus 4",0.025
"KCNF1","KCNF1","_","bi",1.5,1,3,62.2,32.3,198,2,13,0,2,"0.00 (0/2)","chr 2",11052062,11054350,"protein_coding",58115,"distant candidate",-2,"inter clus 2",0.025
"SERPINI1","SERPINI1","_","bi",1.3,1.3,3.8,48.7,44.9,158,2,343,0,2,"0.00 (0/2)","chr 3",167453030,167543356,"protein_coding",82898,"distant candidate",-4,"inter clus 4",0.025
"CALM2","CALM2","_","bi",0.8,0.8,11,61.1,26.3,118,2,1304,1,10,"0.00 (0/10)","chr 2",47387220,47403740,"protein_coding",154325,"distant candidate",-2,"inter clus 2",0.025
"ZNF302","ZNF302","_","bi",0.6,3.2,9.6,77.7,8.9,157,3,43,2,9,"0.00 (0/8)","chr 19",35168543,35177302,"protein_coding",164928,"distant candidate",-31,"inter clus 31",0.025
"MAFF","MAFF","_","bi",0,2.6,15.4,69.2,12.8,39,1,4,0,3,"0.00 (0/3)","chr 22",38597888,38612518,"protein_coding",85780,"distant candidate",-36,"inter clus 36",0.025
"DPP6","DPP6","_","bi",0,0.7,2.6,31.9,64.8,273,7,58,6,21,"0.10 (2/21)","chr 7",153584181,154685995,"protein_coding",251848,"distant candidate",-14,"inter clus 14",0.025
"NRCAM","NRCAM","_","bi",0,0,0,5.8,94.2,156,4,185,6,8,"0.00 (0/8)","chr 7",107788067,108097161,"protein_coding",150848,"distant candidate",-13,"inter clus 13",0.025
"ARAP2","ARAP2","_","bi",0.9,0.3,1.6,27.3,69.9,316,5,86,3,13,"0.00 (0/13)","chr 4",35949842,36246131,"protein_coding",163287,"distant candidate",-4,"inter clus 4",0.0249221183800623
"CPT1A","CPT1A","_","bi",2.5,0.7,2.8,74.4,19.6,281,0,10,0,4,"0.25 (1/4)","chr 11",68522087,68611878,"protein_coding",107016,"distant candidate",-21,"inter clus 21",0.0249110320284698
"GIT1","GIT1","_","bi",2.5,0.4,3.3,45.7,48.1,241,0,31,0,1,NA,"chr 17",27900486,27921072,"protein_coding",48345,"distant candidate",-29,"inter clus 29",0.024896265560166
"SORBS2","SORBS2","_","bi",0.6,0.9,5.4,32.7,60.4,316,6,46,4,23,"0.00 (0/23)","chr 4",186506597,186877806,"protein_coding",302591,"distant candidate",-5,"inter clus 5",0.0248447204968945
"ZNF280B","ZNF280B","_","bi",2.5,2.5,12.4,71.9,10.7,121,0,3,1,7,"0.00 (0/7)","chr 22",22838766,22863505,"protein_coding",116154,"distant candidate",-36,"inter clus 36",0.0247933884297521
"RP11-355I22.7","RP11-355I22.7","_","bi",2.5,0,0.8,41.3,55.4,121,0,35,0,2,"0.00 (0/2)","chr 14",62577592,62579268,"sense_overlapping",65730,"distant candidate",-26,"inter clus 26",0.0247933884297521
"EI24","EI24","_","bi",2.5,3.5,8.4,79.2,6.4,202,0,19,1,3,"0.00 (0/2)","chr 11",125439111,125454575,"protein_coding",64842,"distant candidate",-23,"inter clus 23",0.0247524752475248
"LHX2","LHX2","_","bi",2.5,1.5,4,72.2,19.8,202,0,15,0,2,"0.00 (0/1)","chr 9",126763948,126795580,"protein_coding",54362,"distant candidate",-18,"inter clus 18",0.0247524752475248
"COX4I1","COX4I1","_","bi",2.5,0.6,3.7,43.2,50,162,0,475,0,5,"0.00 (0/5)","chr 16",85832238,85840650,"protein_coding",88589,"distant candidate",-29,"inter clus 29",0.0246913580246914
"KCNT1","KCNT1","_","bi",1.7,1.7,7.1,61.7,27.8,241,2,13,1,8,"0.00 (0/8)","chr 9",138594030,138684992,"protein_coding",120464,"distant candidate",-18,"inter clus 18",0.0246913580246914
"EIF2AK2","EIF2AK2","_","bi",1.6,0.9,1.9,38.3,57.3,321,3,28,2,8,"0.12 (1/8)","chr 2",37326352,37384208,"protein_coding",99584,"distant candidate",-2,"inter clus 2",0.0246913580246914
"RTEL1","RTEL1","_","bi",1.3,5,11.3,63.6,18.8,80,1,5,1,9,"0.00 (0/8)","chr 20",62289162,62328416,"protein_coding",127049,"distant candidate",-35,"inter clus 35",0.0246913580246914
"STAB1","STAB1","_","bi",1.3,1.3,6.2,77.4,13.8,80,1,6,3,5,"0.00 (0/5)","chr 3",52529353,52558511,"protein_coding",89583,"distant candidate",-4,"inter clus 4",0.0246913580246914
"CDV3","CDV3","_","bi",1.3,0,1.3,39.9,57.5,80,1,47,1,6,"0.00 (0/6)","chr 3",133292573,133309105,"protein_coding",94152,"distant candidate",-4,"inter clus 4",0.0246913580246914
"BIVM","BIVM","_","bi",0,0,6.3,93.7,0,79,2,20,2,6,"0.00 (0/6)","chr 13",103451398,103493885,"protein_coding",121845,"distant candidate",-26,"inter clus 26",0.0246913580246914
"BCL2","BCL2","_","bi",1,0,8.5,83,7.5,200,3,9,4,8,"0.00 (0/8)","chr 18",60790578,60987361,"protein_coding",137711,"distant candidate",-30,"inter clus 30",0.0246305418719212
"POLR3H","POLR3H","_","bi",2.5,4.9,12.3,78.7,1.6,122,0,28,0,3,"0.00 (0/3)","chr 22",41921807,41940610,"protein_coding",75050,"distant candidate",-36,"inter clus 36",0.0245901639344263
"TNFAIP8L1","TNFAIP8L1","_","bi",0.8,5,5.8,80.9,7.5,120,2,6,0,8,"0.00 (0/8)","chr 19",4639529,4655580,"protein_coding",131567,"distant candidate",-30,"inter clus 30",0.0245901639344263
"TMBIM4","TMBIM4","_","bi",1.2,8.1,19.9,57.8,13,161,2,14,2,6,"0.17 (1/6)","chr 12",66517696,66563852,"protein_coding",98747,"distant candidate",-25,"inter clus 25",0.0245398773006135
"KIAA0513","KIAA0513","_","bi",0.6,8.2,16.6,16,58.6,319,7,94,5,18,"0.06 (1/18)","chr 16",85061374,85127836,"protein_coding",238161,"distant candidate",-29,"inter clus 29",0.0245398773006135
"LYST","LYST","_","bi",0.8,0.4,3.7,64,31.1,241,4,25,3,13,"0.00 (0/13)","chr 1",235824340,236046940,"protein_coding",207296,"distant candidate",-2,"inter clus 2",0.0244897959183673
"PPFIA4","PPFIA4","_","bi",0.6,0,1.1,27.1,71.2,361,7,27,2,13,"0.00 (0/13)","chr 1",202995625,203047868,"protein_coding",184168,"distant candidate",-2,"inter clus 2",0.0244565217391305
"CRYBB2P1","CRYBB2P1","_","skew.7 novel",2.4,24.4,24.4,39,9.8,41,0,11,0,7,"0.00 (0/7)","chr 22",25844071,25916821,"processed_transcript",123060,"distant candidate",-36,"inter clus 36",0.024390243902439
"NUP43","NUP43","_","skew.7 novel",2.4,17.1,17.1,63.4,0,41,0,10,1,3,"0.00 (0/3)","chr 6",150045450,150070801,"protein_coding",85187,"distant candidate",-9,"inter clus 9",0.024390243902439
"STRA13","STRA13","_","skew.7 novel",2.4,12.2,19.5,65.9,0,41,0,42,0,1,"1.00 (1/1)","chr 17",79976577,79981983,"protein_coding",55613,"distant candidate",-29,"inter clus 29",0.024390243902439
"ZDHHC14","ZDHHC14","_","bi",2.4,3.7,8.5,83,2.4,82,0,16,0,7,"0.00 (0/7)","chr 6",157802164,158099178,"protein_coding",128698,"distant candidate",-9,"inter clus 9",0.024390243902439
"VASH1","VASH1","_","bi",2.4,2.4,9.8,83,2.4,41,0,6,2,4,"0.00 (0/4)","chr 14",77228531,77249354,"protein_coding",77566,"distant candidate",-26,"inter clus 26",0.024390243902439
"RASAL2-AS1","RASAL2-AS1","_","bi",2.4,2.4,7.3,76.9,11,82,0,1,0,1,"0.00 (0/1)","chr 1",178060642,178063119,"lincRNA",47014,"distant candidate",-2,"inter clus 2",0.024390243902439
"DAB2IP","DAB2IP","_","bi",2.4,0,17.1,65.9,14.6,41,0,16,0,2,"0.00 (0/2)","chr 9",124329335,124547809,"protein_coding",78902,"distant candidate",-18,"inter clus 18",0.024390243902439
"U2SURP","U2SURP","_","bi",1.8,0.6,8.6,74.3,14.7,163,1,65,0,5,"0.00 (0/5)","chr 3",142683338,142779567,"protein_coding",133693,"distant candidate",-4,"inter clus 4",0.024390243902439
"FAHD1","FAHD1","_","bi",1.8,0.6,12.9,44.8,39.9,163,1,21,4,19,"0.00 (0/19)","chr 16",1876967,1890208,"protein_coding",205516,"distant candidate",-28,"inter clus 28",0.024390243902439
"RASAL2","RASAL2","_","bi",1.2,2.5,7.4,77.8,11.1,81,1,27,0,3,"0.00 (0/3)","chr 1",178062863,178448644,"protein_coding",148856,"distant candidate",-2,"inter clus 2",0.024390243902439
"BOD1","BOD1","_","bi",1.2,0,4.9,38.3,55.6,81,1,21,1,2,"0.00 (0/2)","chr 5",173034516,173043663,"protein_coding",57060,"distant candidate",-6,"inter clus 6",0.024390243902439
"IFI16","IFI16","_","bi",0,5,5,75,15,80,2,10,3,5,"0.00 (0/5)","chr 1",158969757,159024945,"protein_coding",105851,"distant candidate",-2,"inter clus 2",0.024390243902439
"CACNA1B","CACNA1B","_","bi",0.8,1.4,3.3,58.2,36.3,364,6,14,1,12,"0.08 (1/12)","chr 9",140772240,141019076,"protein_coding",182798,"distant candidate",-18,"inter clus 18",0.0243243243243243
"HPCAL1","HPCAL1","_","bi",2.4,0.6,2.7,33.2,61.1,329,0,42,2,3,"0.33 (1/3)","chr 2",10443014,10567743,"protein_coding",75040,"distant candidate",-2,"inter clus 2",0.0243161094224924
"LIN7C","LIN7C","_","bi",1.8,0.6,3.7,11.3,82.6,327,2,47,0,4,"0.50 (2/4)","chr 11",27516122,27528320,"protein_coding",83032,"distant candidate",-20,"inter clus 20",0.0243161094224924
"RSU1","RSU1","_","bi",1.1,1.1,7.7,62.3,27.8,284,4,18,0,10,"0.00 (0/9)","chr 10",16632609,16859527,"protein_coding",146341,"distant candidate",-18,"inter clus 18",0.0243055555555556
"MB21D2","MB21D2","_","bi",2,1.5,6.3,67.8,22.4,205,1,7,2,6,"0.17 (1/6)","chr 3",192514603,192635950,"protein_coding",94956,"distant candidate",-4,"inter clus 4",0.0242718446601942
"KCNIP1","KCNIP1","_","bi",1.2,0.6,3.7,71.8,22.7,163,2,14,0,3,"0.00 (0/3)","chr 5",169780490,170163636,"protein_coding",65589,"distant candidate",-6,"inter clus 6",0.0242424242424243
"ITGA9","ITGA9","_","bi",1.6,1.6,13.8,79.7,3.3,123,1,8,5,10,"0.00 (0/10)","chr 3",37493605,37865005,"protein_coding",176985,"distant candidate",-4,"inter clus 4",0.0241935483870968
"ZC3H7B","ZC3H7B","_","bi",1.2,0,1.2,31.5,66.1,245,3,27,1,5,"0.00 (0/5)","chr 22",41697525,41756151,"protein_coding",126310,"distant candidate",-36,"inter clus 36",0.0241935483870968
"CDC123","CDC123","_","bi",0.8,0,1.6,43.5,54.1,122,2,52,2,5,"0.00 (0/5)","chr 10",12237963,12292588,"protein_coding",78667,"distant candidate",-18,"inter clus 18",0.0241935483870968
"TARSL2","TARSL2","_","bi",0.4,0.8,4.1,61,33.7,243,5,28,2,4,"0.25 (1/4)","chr 15",102193800,102264807,"protein_coding",85627,"distant candidate",-28,"inter clus 28",0.0241935483870968
"WDYHV1","WDYHV1","_","bi",1.9,0.5,15.5,70.4,11.7,206,1,12,5,9,"0.00 (0/8)","chr 8",124428964,124479470,"protein_coding",114490,"distant candidate",-15,"inter clus 15",0.0241545893719807
"KIAA0895","KIAA0895","_","bi",2.4,1.2,10.8,82,3.6,83,0,16,1,7,"0.00 (0/7)","chr 7",36363829,36429734,"protein_coding",137664,"distant candidate",-10,"inter clus 10",0.0240963855421686
"TMEM33","TMEM33","_","bi",2.4,0,4.8,42.2,50.6,83,0,37,0,4,"0.00 (0/4)","chr 4",41937136,41962589,"protein_coding",110681,"distant candidate",-4,"inter clus 4",0.0240963855421686
"HTR5A","HTR5A","_","bi",1.2,1.2,13.4,65.9,18.3,82,1,6,4,10,"0.00 (0/10)","chr 7",154862033,154877459,"protein_coding",149035,"distant candidate",-14,"inter clus 14",0.0240963855421686
"SGSM2","SGSM2","_","bi",0,1.9,4.3,47.5,46.3,162,4,36,4,11,"0.00 (0/10)","chr 17",2240791,2284352,"protein_coding",212691,"distant candidate",-29,"inter clus 29",0.0240963855421686
"NARFL","NARFL","_","bi",0,1.2,7.4,72.9,18.5,81,2,18,3,12,"0.00 (0/12)","chr 16",779752,791329,"protein_coding",141828,"distant candidate",-28,"inter clus 28",0.0240963855421686
"EXOC4","EXOC4","_","bi",0.4,1.1,2.5,33.9,62.1,285,6,47,1,4,"0.00 (0/4)","chr 7",133452849,133456240,"protein_coding",86966,"distant candidate",-14,"inter clus 14",0.0240549828178694
"NECAP1","NECAP1","1 M impr clstr","bi",1.5,0,0.5,7.2,90.8,206,2,101,0,3,"0.00 (0/3)","chr 12",8234806,8250367,"protein_coding",63967,"nearby candidate",25,"clus 25 (chr 12)",0.0240384615384616
"KCTD21","KCTD21","_","bi",1.6,2.4,13.7,81.5,0.8,124,1,3,3,7,"0.00 (0/7)","chr 11",77882294,77899868,"protein_coding",105658,"distant candidate",-22,"inter clus 22",0.024
"DNAJB6","DNAJB6","_","bi",1.6,2.4,8.9,77.4,9.7,124,1,110,0,3,"0.00 (0/3)","chr 7",157128074,157210133,"protein_coding",103222,"distant candidate",-14,"inter clus 14",0.024
"ZEB2","ZEB2","_","bi",0,0.8,6.1,73,20.1,244,6,107,2,8,"0.12 (1/8)","chr 2",145141647,145282147,"protein_coding",111112,"distant candidate",-3,"inter clus 3",0.024
"SAMD12","SAMD12","_","bi",0,0,2.5,47.1,50.4,244,6,42,7,19,"0.00 (0/19)","chr 8",119201697,119634234,"protein_coding",253946,"distant candidate",-15,"inter clus 15",0.024
"KCNN3","KCNN3","_","bi",1.4,0.7,4.5,53.6,39.8,289,3,9,2,16,"0.00 (0/16)","chr 1",154669930,154842756,"protein_coding",194596,"distant candidate",-2,"inter clus 2",0.023972602739726
"ADARB2","ADARB2","_","bi",0.5,3.4,15.6,71.2,9.3,205,4,9,6,17,"0.00 (0/17)","chr 10",1228072,1779670,"protein_coding",185230,"distant candidate",-18,"inter clus 18",0.0239234449760766
"CANX","CANX","_","bi",1.2,0,0.4,2.4,96,248,3,189,0,3,"0.00 (0/3)","chr 5",179105628,179157926,"protein_coding",92572,"distant candidate",-6,"inter clus 6",0.0239043824701195
"FGF1","FGF1","_","bi",0.8,0.5,1.3,8.5,88.9,371,6,87,2,7,"0.00 (0/7)","chr 5",141971742,142077617,"protein_coding",107843,"distant candidate",-6,"inter clus 6",0.0238726790450928
"SNX32","SNX32","_","skew.7 novel",2.4,9.5,25,61.9,1.2,84,0,7,1,4,"0.33 (1/3)","chr 11",65601111,65624367,"protein_coding",80466,"distant candidate",-21,"inter clus 21",0.0238095238095238
"SENP8","SENP8","_","bi",2.4,2.4,9.5,85.7,0,42,0,5,0,2,"0.00 (0/2)","chr 15",72406598,72433311,"protein_coding",62403,"distant candidate",-28,"inter clus 28",0.0238095238095238
"CTD-2544N14.3","CTD-2544N14.3","_","bi",2.4,0.4,7.5,37.3,52.4,252,0,2,0,2,"0.00 (0/2)","chr 8",38827878,38830530,"antisense",64127,"distant candidate",-15,"inter clus 15",0.0238095238095238
"PLEKHA2","PLEKHA2","_","bi",2.4,0.4,7.5,37.3,52.4,252,0,20,1,3,"0.00 (0/3)","chr 8",38758752,38831428,"protein_coding",79978,"distant candidate",-15,"inter clus 15",0.0238095238095238
"EHD1","EHD1","_","bi",2.4,0,4.8,90.4,2.4,42,0,7,3,4,"0.00 (0/4)","chr 11",64619113,64655768,"protein_coding",84965,"distant candidate",-21,"inter clus 21",0.0238095238095238
"IQCJ-SCHIP1","IQCJ-SCHIP1","_","bi",2.4,0,14.3,80.9,2.4,42,0,41,0,2,"0.00 (0/2)","chr 3",158680023,159615155,"protein_coding",62448,"distant candidate",-4,"inter clus 4",0.0238095238095238
"CCDC159","CCDC159","_","bi",2.4,0,4.8,78.5,14.3,42,0,11,0,2,"0.00 (0/2)","chr 19",11455359,11465620,"protein_coding",55412,"distant candidate",-31,"inter clus 31",0.0238095238095238
"CPNE3","CPNE3","_","bi",2.4,0,7.1,72.6,17.9,84,0,30,5,8,"0.00 (0/8)","chr 8",87497058,87573726,"protein_coding",155499,"distant candidate",-15,"inter clus 15",0.0238095238095238
"LHFPL2","LHFPL2","_","bi",2.1,1.2,3.6,63,30.1,335,1,10,2,9,"0.00 (0/9)","chr 5",77781037,78065844,"protein_coding",158731,"distant candidate",-5,"inter clus 5",0.0238095238095238
"PIM3","PIM3","_","bi",1.8,3.6,12.6,60.4,21.6,167,1,9,1,3,"0.00 (0/3)","chr 22",50354160,50357728,"protein_coding",66982,"distant candidate",-36,"inter clus 36",0.0238095238095238
"WDR52","WDR52","_","bi",1.2,4.4,6.8,76.8,10.8,249,3,18,5,16,"0.12 (2/16)","chr 3",113005776,113160457,"protein_coding",196772,"distant candidate",-4,"inter clus 4",0.0238095238095238
"SCARB2","SCARB2","_","bi",0.6,0,5.5,39.4,54.5,165,3,96,1,3,"0.00 (0/3)","chr 4",77079889,77135046,"protein_coding",106454,"distant candidate",-4,"inter clus 4",0.0238095238095238
"LINC00299","LINC00299","_","bi",0,2.4,7.3,90.3,0,41,1,5,1,4,"0.00 (0/4)","chr 2",8147900,8523751,"lincRNA",70733,"distant candidate",-2,"inter clus 2",0.0238095238095238
"RP11-545I5.3","RP11-545I5.3","_","bi",0,2.4,14.6,83,0,41,1,20,0,9,"0.00 (0/9)","chr 6",146136047,146207721,"antisense",152926,"distant candidate",-9,"inter clus 9",0.0238095238095238
"SHPRH","SHPRH","_","bi",0,2.4,14.6,83,0,41,1,27,1,8,"0.00 (0/8)","chr 6",146185380,146285559,"protein_coding",163902,"distant candidate",-9,"inter clus 9",0.0238095238095238
"RP11-894P9.1","RP11-894P9.1","_","bi",0,0,4.9,75.6,19.5,41,1,7,0,1,"0.00 (0/1)","chr 14",104148698,104150352,"antisense",56640,"distant candidate",-27,"inter clus 27",0.0238095238095238
"HLA-A","HLA-A","_","bi",0.4,7,18,27.8,46.8,455,9,49,2,40,"0.15 (6/39)","chr 6",29909036,29913661,"protein_coding",596428,"distant candidate",-7,"inter clus 7",0.0237068965517241
"AKAP8","AKAP8","_","bi",1.8,2.4,15.5,72,8.3,168,1,8,1,4,"0.00 (0/3)","chr 19",15464195,15490609,"protein_coding",72779,"distant candidate",-31,"inter clus 31",0.0236686390532544
"MCHR1","MCHR1","_","bi",1.2,3,7.2,67.6,21,167,2,4,1,4,"0.00 (0/4)","chr 22",41074753,41078818,"protein_coding",72880,"distant candidate",-36,"inter clus 36",0.0236686390532544
"MOB3A","MOB3A","_","bi",1.6,4,17.5,73.7,3.2,126,1,4,0,7,"0.00 (0/7)","chr 19",2071036,2096672,"protein_coding",107038,"distant candidate",-30,"inter clus 30",0.0236220472440944
"GLRX3","GLRX3","_","bi",0.8,0,3.2,66.4,29.6,125,2,34,0,2,"0.00 (0/2)","chr 10",131934662,131982785,"protein_coding",63207,"distant candidate",-19,"inter clus 19",0.0236220472440944
"DDX18","DDX18","_","skew.7 novel",0.4,15.7,30.9,46.6,6.4,249,5,30,1,11,"0.09 (1/11)","chr 2",118572225,118589955,"protein_coding",128701,"distant candidate",-3,"inter clus 3",0.0236220472440944
"HECW1","HECW1","_","bi",0,4.8,0.8,53.3,41.1,124,3,32,1,10,"0.00 (0/10)","chr 7",43152197,43605600,"protein_coding",216215,"distant candidate",-10,"inter clus 10",0.0236220472440944
"INPP5K","INPP5K","_","bi",2.4,3.3,6.2,73.4,14.7,211,1,14,1,5,"0.20 (1/5)","chr 17",1397864,1420182,"protein_coding",87558,"distant candidate",-29,"inter clus 29",0.0235849056603774
"TOMM40","TOMM40","_","bi",1.4,0.5,2.4,50.9,44.8,210,2,15,0,5,"0.00 (0/5)","chr 19",45393825,45406946,"protein_coding",92687,"distant candidate",-31,"inter clus 31",0.0235849056603774
"DPYSL3","DPYSL3","_","bi",1,0,1.4,27.7,69.9,209,3,27,0,4,"0.00 (0/4)","chr 5",146770373,146889619,"protein_coding",125137,"distant candidate",-6,"inter clus 6",0.0235849056603774
"KIAA0319","KIAA0319","_","bi",0,1,6.3,72.9,19.8,207,5,10,8,13,"0.00 (0/13)","chr 6",24544331,24646383,"protein_coding",247695,"distant candidate",-7,"inter clus 7",0.0235849056603774
"NACC1","NACC1","_","bi",2.4,2.4,8,72.6,14.6,212,1,14,1,5,"0.20 (1/5)","chr 19",13228916,13251955,"protein_coding",78323,"distant candidate",-31,"inter clus 31",0.0234741784037559
"SNX13","SNX13","_","bi",1.4,1.4,9,78.2,10,211,2,47,0,10,"0.11 (1/9)","chr 7",17830384,17980124,"protein_coding",162241,"distant candidate",-10,"inter clus 10",0.0234741784037559
